Id;aÁoes;ativo;fechamento_ajustado
385;ENERGISA_MT_PN;ENMT4;0.00
386;ENERGISA;ENGI-DEB81L1;0.00
387;ENERGISA;ENGI-DEB820B;0.00
388;ENERGISA;ENGI-DEB82L0;0.00
389;ENERGISA;ENGI-DEB81L0;0.00
390;ENERGISA;ENGI-DEB82B0;0.00
391;ENERGISA;ENGI-DEB82L1;0.00
392;ENERGISA;ENGI-DEB81B0;0.00
393;ENERGISA_ON;ENGI3;0.00
394;ENERGISA_PN;ENGI4;0.00
395;ENERGISA;ENGI12;0.00
396;ENERGISA;ENGI-DEB810B;0.00
397;ENEVA_ON;ENEV3;0.00
398;ENGIE_BRASIL_ON;EGIE3;0.00
399;Enjoei.Com.Br_Atividades..._ON;ENJU3;0.00
400;EQTL_PARA_PNA;EQPA5;0.00
401;EQTL_PARA_PNC;EQPA7;0.00
402;EQTL_PARA_PNB;EQPA6;0.00
403;EQTL_PARA_ON;EQPA3;0.00
404;EQUATORIAL_ON;EQTL3;0.00
405;CELPA_PNC;CELP7;0.00
406;CELPA_ON;CELP3;0.00
407;CELPA_PNA;CELP5;0.00
408;CELPA_PNB;CELP6;0.00
409;ETERNIT_ON;ETER1;0.00
410;ETERNIT_ON;ETER9;0.00
411;ETERNIT_ON;ETER3;0.00
412;EUCATEX_PN;EUCA4;0.00
413;EUCATEX_ON;EUCA3;0.00
414;EVEN_ON;EVEN3;0.00
415;EXCELSIOR_ON;BAUH3;0.00
416;EXCELSIOR_PN;BAUH4;0.00
417;EZTEC_ON;EZTC3;0.00
418;Fazenda_Barreiro_Santa_Fe_PNA;FBSF5L;0.00
419;Fazenda_Estrela_Sa_Agrop..._PNA;FEST5L;0.00
420;FD_DE_INV_Imobliario_Our...;OUFF12;0.00
421;FD_iNav_IM_Ativ_re_Cotas;TGAR12;0.00
422;FDO_INV_IMOB_FII_UBS_BR_...;RECT12;0.00
423;FERROVIA_CENTRO_ATL_ON;VSPT3;0.00
424;FERROVIA_CENTRO_ATL_PN;VSPT4;0.00
425;FERROVIA_CENTRO_ATL_ON;VSPT1;0.00
426;FER_HERINGER_ON;FHER3;0.00
427;Fiacao_Algodao_Moco_Sa_F..._PNB;FMSA6L;0.00
428;Fibra_Cia_Securit_De_Cre...;BCFF12;0.00
429;Fibrasa_Nordeste_PNA;BRAS5L;0.00
430;FII_ABSOLUTO_CI;BPFF12;0.00
431;FII_Bresco_Ci_Eg;BRCO12;0.00
432;FII_Capi_Sec_CI_Mb;CPTS12;0.00
433;FII_Capi_Sec_CI_Mb;CPTS12B;0.00
434;FII_CSHG_CRI_CI;HGCR12;0.00
435;Fii_Fator_Ve;VRTA12;0.00
436;FII_Galapagos;GCFF12;0.00
437;FII_HECTARE_CI;HCTR12;0.00
438;FII_HSI_MALLCI;HSML12;0.00
439;FII_LOGCP_Inter;LGCP12;0.00
440;FII_MAUA_CI_ER;MCCI12;0.00
441;FII_Maxi_Ren;MXRF12;0.00
442;FII_Mongno_CI;MGFF12;0.00
443;FII_More_Real_Estate_FoF;MORE12;0.00
444;FII_POLO_CRI_CI;PORD12;0.00
445;FII_R_Incomedm_Brazil_St...;RBCO12;0.00
446;FII_RB_Capital_Desenvolv...;RBFF12;0.00
447;FII_RBR_LOG;RBRL12;0.00
448;FII_RBR_PROPCI;RBRP12;0.00
449;FII_RBRALPHACI;RBRF12;0.00
450;FII_Rec_Log;RELG12;0.00
451;FII_TRX_Realty_Logistica;BTLG12;0.00
452;FII_UBS_CI;UBSR12;0.00
453;FII_UBS_CI;UBSR16;0.00
454;FII_Valora_CRI_Indice_de...;VGIP12;0.00
455;FII_VINCILOGCI_EB;VILG12;0.00
456;FII_Vinvi_SCCI;VISC13;0.00
457;FII_XP_Credito;XPCI12;0.00
458;FII_XP_HOT_CI;XPHT14;0.00
459;FII_XP_INDL_CI_ER;XPIN12;0.00
460;FII_XP_Prop_Ci;XPPR12;0.00
461;ALFA_FINANC_ON;CRIV3;0.00
462;ALFA_FINANC_PN;CRIV4;0.00
463;FIP_Vinci_IECI;VIGT12;0.00
464;FLEURY_ON;FLRY3;0.00
465;Flex_Gestao_De_Relaciona..._ON;FLEX3;0.00
466;Fly_Acai_PNA_PNA;FLYC5L;0.00
467;FORJA_TAURUS_ON;FJTA3;0.00
468;FORJA_TAURUS_PN;FJTA4;0.00
469;Frango_Norte_PNA_PNA;FNAG5L;0.00
